[2025-12-09 00:41:42] local.WARNING: Rate Limit Exceeded {"request_id":"req_69377046e19223.01591891","timestamp":"2025-12-09 00:41:42","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":34.55,"memory_kb":130.05,"status_code":429,"user_id":null,"ip":"127.0.0.1","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","event_type":"rate_limit","severity":"low"} 
[2025-12-09 00:41:43] local.WARNING: Rate Limit Exceeded {"request_id":"req_69377047a4f376.27387171","timestamp":"2025-12-09 00:41:43","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":35.88,"memory_kb":130.05,"status_code":429,"user_id":null,"ip":"127.0.0.1","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","event_type":"rate_limit","severity":"low"} 
[2025-12-09 14:54:34] local.WARNING: Authentication/Authorization Failure {"request_id":"req_6938382a867694.03499218","timestamp":"2025-12-09 14:54:34","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":41.1,"memory_kb":471.24,"status_code":401,"user_id":null,"ip":"127.0.0.1","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 14:54:42] local.WARNING: Authentication/Authorization Failure {"request_id":"req_6938383228f0d2.57658667","timestamp":"2025-12-09 14:54:42","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":38.56,"memory_kb":471.24,"status_code":401,"user_id":null,"ip":"127.0.0.1","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 14:54:47] local.WARNING: Authentication/Authorization Failure {"request_id":"req_69383837df42e2.24804109","timestamp":"2025-12-09 14:54:47","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":40.68,"memory_kb":471.24,"status_code":401,"user_id":null,"ip":"127.0.0.1","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:31] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387ba7c0ae67.72866936","timestamp":"2025-12-09 19:42:31","method":"GET","endpoint":"api/v1/admin/users","route":null,"execution_time_ms":8.22,"memory_kb":157.91,"status_code":403,"user_id":17,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:37] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bad659b48.66820713","timestamp":"2025-12-09 19:42:37","method":"GET","endpoint":"api/v1/workforce/employees","route":null,"execution_time_ms":4.29,"memory_kb":151.42,"status_code":403,"user_id":11,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:37] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bad94ac74.33716114","timestamp":"2025-12-09 19:42:37","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":2.31,"memory_kb":20.44,"status_code":401,"user_id":null,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:38] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bae3aa207.32235283","timestamp":"2025-12-09 19:42:38","method":"POST","endpoint":"api/v1/workforce/leave-requests","route":null,"execution_time_ms":4.16,"memory_kb":50.51,"status_code":403,"user_id":18,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:38] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387baee18d69.15208010","timestamp":"2025-12-09 19:42:38","method":"PUT","endpoint":"api/v1/workforce/leave-requests/20","route":null,"execution_time_ms":2.73,"memory_kb":49.73,"status_code":403,"user_id":49,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:39] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387baf52af21.12549866","timestamp":"2025-12-09 19:42:39","method":"GET","endpoint":"api/v1/workforce/leave-requests/25","route":null,"execution_time_ms":10.23,"memory_kb":-3870.78,"status_code":403,"user_id":60,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:41] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bb165e7d3.32636870","timestamp":"2025-12-09 19:42:41","method":"POST","endpoint":"api/v1/workforce/performance/reviews","route":null,"execution_time_ms":3.93,"memory_kb":49.77,"status_code":403,"user_id":89,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:41] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bb1c8b2b9.29371655","timestamp":"2025-12-09 19:42:41","method":"GET","endpoint":"api/v1/workforce/performance/47","route":null,"execution_time_ms":3.58,"memory_kb":54.83,"status_code":403,"user_id":110,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:42] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bb242f4e6.14212956","timestamp":"2025-12-09 19:42:42","method":"PUT","endpoint":"api/v1/workforce/performance/reviews/29","route":null,"execution_time_ms":2.7,"memory_kb":49.1,"status_code":403,"user_id":159,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:42] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bb2687d24.07044323","timestamp":"2025-12-09 19:42:42","method":"DELETE","endpoint":"api/v1/workforce/performance/reviews/31","route":null,"execution_time_ms":2.08,"memory_kb":45.35,"status_code":403,"user_id":166,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:48] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bb8cc7e57.45401271","timestamp":"2025-12-09 19:42:48","method":"POST","endpoint":"api/v1/products","route":null,"execution_time_ms":3.66,"memory_kb":141.55,"status_code":403,"user_id":1,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:52] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bbc532171.67651179","timestamp":"2025-12-09 19:42:52","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":3.25,"memory_kb":18.56,"status_code":401,"user_id":null,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-09 19:42:52] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_69387bbc546c01.40755028","timestamp":"2025-12-09 19:42:52","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":2.73,"memory_kb":6.62,"status_code":401,"user_id":null,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
