[2025-12-04 02:55:47] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f833c296d5.77655614","timestamp":"2025-12-04 02:55:47","method":"GET","endpoint":"api/v1/admin/users","route":null,"execution_time_ms":16.17,"memory_kb":157.99,"status_code":403,"user_id":17,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:55:49] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f83576beb1.90427060","timestamp":"2025-12-04 02:55:49","method":"GET","endpoint":"api/v1/admin/analytics/predictive","route":null,"execution_time_ms":6.0,"memory_kb":153.08,"status_code":403,"user_id":85,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:55:57] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f83d2f8ae0.81814160","timestamp":"2025-12-04 02:55:57","method":"GET","endpoint":"api/v1/workforce/employees","route":null,"execution_time_ms":6.8,"memory_kb":151.45,"status_code":403,"user_id":11,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:55:57] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f83d7aa976.32836715","timestamp":"2025-12-04 02:55:57","method":"POST","endpoint":"api/v1/auth/login","route":null,"execution_time_ms":3.95,"memory_kb":20.07,"status_code":401,"user_id":null,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:55:58] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f83e591ea2.14480374","timestamp":"2025-12-04 02:55:58","method":"POST","endpoint":"api/v1/workforce/leave-requests","route":null,"execution_time_ms":6.33,"memory_kb":50.51,"status_code":403,"user_id":18,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:55:59] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f83f5d79b3.49803344","timestamp":"2025-12-04 02:55:59","method":"PUT","endpoint":"api/v1/workforce/leave-requests/20","route":null,"execution_time_ms":3.94,"memory_kb":49.1,"status_code":403,"user_id":49,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:55:59] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f83fd7dbe7.85789175","timestamp":"2025-12-04 02:55:59","method":"GET","endpoint":"api/v1/workforce/leave-requests/25","route":null,"execution_time_ms":6.4,"memory_kb":67.48,"status_code":403,"user_id":60,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:56:03] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f843a5bac4.13225265","timestamp":"2025-12-04 02:56:03","method":"POST","endpoint":"api/v1/workforce/performance/reviews","route":null,"execution_time_ms":6.51,"memory_kb":49.77,"status_code":403,"user_id":115,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:56:04] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f84441c268.47722367","timestamp":"2025-12-04 02:56:04","method":"GET","endpoint":"api/v1/workforce/performance/47","route":null,"execution_time_ms":5.99,"memory_kb":54.83,"status_code":403,"user_id":136,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:56:04] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f844ecbcd8.85402731","timestamp":"2025-12-04 02:56:04","method":"PUT","endpoint":"api/v1/workforce/performance/reviews/29","route":null,"execution_time_ms":5.16,"memory_kb":49.1,"status_code":403,"user_id":185,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
[2025-12-04 02:56:05] testing.WARNING: Authentication/Authorization Failure {"request_id":"req_6930f8453003a1.01816878","timestamp":"2025-12-04 02:56:05","method":"DELETE","endpoint":"api/v1/workforce/performance/reviews/31","route":null,"execution_time_ms":4.01,"memory_kb":45.35,"status_code":403,"user_id":192,"ip":"127.0.0.1","user_agent":"Symfony","event_type":"auth_failure","severity":"medium"} 
